score,rule,FPR,TPR_pers+,TPR_pers-,TPR_avg,median_tau
surp2,fixed_z c=2,0.2335,0.7431111111111111,0.7398333333333333,0.7414722222222222,3.0
surp2,fixed_z c=3.5,0.034277777777777775,0.6350555555555556,0.6358333333333334,0.6354444444444445,5.0
surp2,"warmup c=3.5,t≥10",0.01538888888888889,0.6276666666666667,0.6297222222222222,0.6286944444444444,10.0
surp2,LIL c=2,0.3307777777777778,0.7267222222222223,0.7288333333333333,0.7277777777777779,1.0
surp2,Robbins δ=0.05,0.0017222222222222222,0.5893888888888889,0.5921111111111111,0.59075,17.0
surp2,"empirical δ=0.05 (c=3.34, held-out)",0.042222222222222223,0.6457222222222222,0.6468333333333334,0.6462777777777777,4.0
sus_1,fixed_z c=2,0.21855555555555556,0.9957777777777778,0.9948333333333333,0.9953055555555556,2.0
sus_1,fixed_z c=3.5,0.030944444444444445,0.9468888888888889,0.9465555555555556,0.9467222222222222,5.0
sus_1,"warmup c=3.5,t≥10",0.01577777777777778,0.9465,0.946,0.94625,10.0
sus_1,LIL c=2,0.2677777777777778,0.9736111111111111,0.9722222222222222,0.9729166666666667,1.0
sus_1,Robbins δ=0.05,0.0015555555555555555,0.8208888888888889,0.8198333333333333,0.8203611111111111,17.0
sus_1,"empirical δ=0.05 (c=3.27, held-out)",0.04877777777777778,0.9606111111111111,0.9581111111111111,0.9593611111111111,4.0
